"","heart_rate","steering","steeringVelocity","turningCurvature","speedInMetresPerSecond","prev_steering_vel","delta_steering_vel","danger"
"1",100,-0.020340396091342,0,0.0963592901825905,0.256568342447281,0,0,FALSE
"2",100,-0.0184085182845592,0.0358620062470436,0.0532713606953621,0.314708679914474,0,0.0358620062470436,TRUE
"3",100,-0.0174829550087452,0.018485264852643,0.0384550988674164,0.371796190738678,0.0358620062470436,-0.0173767413944006,FALSE
"4",100,-0.0166764575988054,0.018485264852643,0.0283427350223064,0.432903707027435,0.018485264852643,0,FALSE
"5",100,-0.0159551631659269,0.0152752129361033,0.019947312772274,0.498532712459564,0.018485264852643,-0.0032100519165397,FALSE
"6",100,-0.0152262104675174,0.014545395039022,0.0174583923071623,0.570818483829498,0.0152752129361033,-0.000729817897081301,FALSE
"7",100,-0.0144902914762497,0.014545395039022,0.0154421012848616,0.646222651004791,0.014545395039022,0,FALSE
"8",100,-0.0135713806375861,0.0165807455778122,0.0115648740902543,0.730334103107452,0.014545395039022,0.0020353505387902,FALSE
"9",100,-0.0124643230810761,0.0220855176448822,0.00694649294018745,0.822551548480988,0.0165807455778122,0.00550477206707,FALSE
"10",100,-0.011563453823328,0.0220855176448822,0.00530131673440337,0.923507213592529,0.0220855176448822,0,FALSE
"11",100,-0.0109296841546893,0.015355447307229,0.00462216278538108,1.03356981277466,0.0220855176448822,-0.0067300703376532,FALSE
"12",100,-0.0104979416355491,0.015355447307229,0.0035918012727052,1.15353262424469,0.015355447307229,0,FALSE
"13",100,-0.0103318998590112,0.00597209995612502,0.0037108154501766,1.28722298145294,0.015355447307229,-0.00938334735110398,FALSE
"14",100,-0.0103042861446738,0.00597209995612502,0.00386015977710485,1.42580771446228,0.00597209995612502,0,FALSE
"15",100,-0.0103042861446738,0.000276463688351214,0.00372168840840459,1.57585024833679,0.00597209995612502,-0.00569563626777381,FALSE
"16",100,-0.0103042861446738,0,0.00321791763417423,1.73626184463501,0.000276463688351214,-0.000276463688351214,FALSE
"17",100,-0.0103042861446738,0,0.00327579327858984,1.89655554294586,0,0,FALSE
"18",100,-0.0103042861446738,0,0.00305452174507082,2.13067269325256,0,0,FALSE
"19",100,-0.0103042861446738,0,0.00322589511051774,2.29794931411743,0,0,FALSE
"20",100,-0.0103042861446738,0,0.00301046064123511,2.47502064704895,0,0,FALSE
"21",100,-0.0103042861446738,0,0.00293109705671668,2.65246772766113,0,0,FALSE
"22",100,-0.0103042861446738,0,0.00279393466189504,2.82840538024902,0,0,FALSE
"23",100,-0.0103042861446738,0,0.00262371939606965,3.00229144096375,0,0,FALSE
"24",100,-0.0103042861446738,0,0.00247725169174373,3.17366814613342,0,0,FALSE
"25",100,-0.0103042861446738,0,0.00231014634482563,3.34262299537659,0,0,FALSE
"26",100,-0.0103042861446738,0,0.00226965150795877,3.50961375236511,0,0,FALSE
"27",100,-0.0103042861446738,0,0.00226289266720414,3.6744704246521,0,0,FALSE
"28",100,-0.0103042861446738,0,0.0021895794197917,3.83704495429993,0,0,FALSE
"29",100,-0.0103042861446738,0,0.00210115290246904,3.99691414833069,0,0,FALSE
"30",100,-0.0103042861446738,0,0.00197014468722045,4.15317010879517,0,0,FALSE
"31",100,-0.0103042861446738,0,0.0019302312284708,4.30603218078613,0,0,FALSE
"32",100,-0.0103042861446738,0,0.00193221762310714,4.45577573776245,0,0,FALSE
"33",100,-0.0100153740495443,0.00288887158967555,0.00180193956475705,4.60261249542236,0,0.00288887158967555,FALSE
"34",100,-0.00930825993418694,0.00288887158967555,0.0015623866347596,4.74558353424072,0.00288887158967555,0,FALSE
"35",100,-0.00838887970894575,0.0162868034094572,0.00138939288444817,4.88317918777466,0.00288887158967555,0.0133979318197817,FALSE
"36",100,-0.00737699680030346,0.0202046241611242,0.00122295692563057,5.0164008140564,0.0162868034094572,0.003917820751667,FALSE
"37",100,-0.00627285661175847,0.0220795404165983,0.000978842028416693,5.14639234542847,0.0202046241611242,0.0018749162554741,FALSE
"38",100,-0.00554456980898976,0.0220795404165983,0.000912294955924153,5.27281761169434,0.0220795404165983,0,FALSE
"39",100,-0.00546097243204713,0.0081263231113553,0.000952590140514076,5.39693403244019,0.0220795404165983,-0.013953217305243,FALSE
"40",100,-0.00546097243204713,0.0081263231113553,0.000915206619538367,5.51884651184082,0.0081263231113553,0,FALSE
"41",100,-0.00544905383139849,0.000119153744890355,0.000849037140142173,5.63881206512451,0.0081263231113553,-0.00800716936646494,FALSE
"42",100,-0.00544905383139849,0.000119153744890355,0.000765871023759246,5.75660705566406,0.000119153744890355,0,FALSE
"43",100,-0.00507087586447597,0.00378529797308147,0.000635977019555867,5.87144422531128,0.000119153744890355,0.00366614422819111,FALSE
"44",100,-0.00334559520706534,0.00378529797308147,0.000332636031089351,5.98452520370483,0.00378529797308147,0,FALSE
"45",100,-0.00107439851853997,0.0399314016103745,-1.33255698528956e-05,6.09685850143433,0.00378529797308147,0.036146103637293,TRUE
"46",100,0.0004851856501773,0.0310616102069616,-0.000147144688526168,6.20879459381104,0.0399314016103745,-0.0088697914034129,FALSE
"47",100,0.00222510914318264,0.0310616102069616,-0.000239325454458594,6.32066202163696,0.0310616102069616,0,FALSE
"48",100,0.00263036135584116,0.0215215943753719,-0.000223076960537583,6.43246459960938,0.0310616102069616,-0.0095400158315897,FALSE
"49",100,0.00263036135584116,0,-0.000182119751116261,6.54422998428345,0.0215215943753719,-0.0215215943753719,FALSE
"50",100,0.00263036135584116,0,-0.000258997577475384,6.65604829788208,0,0,FALSE
